function_name,complexity,batch_id,implemented
ABS,easy,1,Y
ACCRINT,easy,1,N
ACCRINTM,easy,1,N
ACOS,easy,1,Y
ACOSH,easy,1,Y
ACOT,easy,1,Y
ACOTH,easy,1,Y
ADD,easy,1,N
ADDRESS,easy,1,N
AGGREGATE,easy,1,N
AMORDEGRC,easy,1,N
AMORLINC,easy,1,N
AND,easy,1,Y
ARABIC,easy,1,Y
AREAS,easy,1,N
ARRAYFORMULA,easy,1,N
ARRAY_CONSTRAIN,easy,1,N
ASC,easy,1,N
ASIN,easy,1,Y
ASINH,easy,1,Y
ATAN,easy,1,Y
ATAN2,easy,1,Y
ATANH,easy,1,Y
AVEDEV,easy,1,Y
AVERAGE,easy,1,Y
AVERAGE.WEIGHTED,easy,1,N
AVERAGEA,easy,1,Y
AVERAGEIF,easy,1,Y
AVERAGEIFS,easy,1,Y
BAHTTEXT,easy,1,N
BASE,easy,1,Y
BESSELI,easy,1,Y
BESSELJ,easy,1,Y
BESSELK,easy,1,Y
BESSELY,easy,1,Y
BETA.DIST,easy,1,N
BETA.INV,easy,1,N
BETA.INVN,easy,1,N
BIN2DEC,easy,1,Y
BIN2HEX,easy,1,Y
BIN2OCT,easy,2,Y
BINOM.DIST,easy,2,N
BINOM.DIST.RANGE,easy,2,N
BINOM.INV,easy,2,N
BITAND,easy,2,Y
BITLSHIFT,easy,2,Y
BITOR,easy,2,Y
BITRSHIFT,easy,2,Y
BITXOR,easy,2,Y
CALL,easy,2,N
CEILING,easy,2,Y
CEILING.MATH,easy,2,N
CEILING.PRECISE,easy,2,N
CELL,easy,2,Y
CHAR,easy,2,N
CHISQ.DIST,easy,2,N
CHISQ.DIST.RT,easy,2,N
CHISQ.INV,easy,2,N
CHISQ.INV.RT,easy,2,N
CHISQ.TEST,easy,2,N
CHOOSE,easy,2,Y
CLEAN,easy,2,N
CODE,easy,2,N
COLUMN,easy,2,Y
COLUMNS,easy,2,Y
COMBIN,easy,2,Y
COMBINA,easy,2,Y
COMPLEX,easy,2,Y
CONCAT,easy,2,Y
CONCATENATE,easy,2,Y
CONFIDENCE.NORM,easy,2,N
CONFIDENCE.T,easy,2,N
CONVERT,easy,2,Y
COPILOT,easy,2,N
CORREL,easy,2,Y
COS,easy,2,Y
COSH,easy,2,Y
COT,easy,2,Y
COTH,easy,2,Y
COUNT,easy,2,Y
COUNTA,easy,3,Y
COUNTBLANK,easy,3,Y
COUNTIF,easy,3,Y
COUNTIFS,easy,3,Y
COUNTUNIQUE,easy,3,N
COUPDAYBS,easy,3,N
COUPDAYS,easy,3,N
COUPDAYSNC,easy,3,N
COUPNCD,easy,3,N
COUPNUM,easy,3,N
COUPPCD,easy,3,N
COVARIANCE.P,easy,3,N
COVARIANCE.S,easy,3,N
CRITBINOM,easy,3,N
CSC,easy,3,Y
CSCH,easy,3,Y
CUBEKPIMEMBER,easy,3,N
CUBEMEMBER,easy,3,N
CUBEMEMBERPROPERTY,easy,3,N
CUBERANKEDMEMBER,easy,3,N
CUBESET,easy,3,N
CUBESETCOUNT,easy,3,N
CUBEVALUE,easy,3,N
CUMIPMT,easy,3,Y
CUMPRINC,easy,3,Y
DAVERAGE,easy,3,Y
DAY,easy,3,Y
DAYS,easy,3,Y
DAYS360,easy,3,Y
DB,easy,3,Y
DBCS,easy,3,N
DCOUNT,easy,3,Y
DCOUNTA,easy,3,Y
DDB,easy,3,Y
DEC2BIN,easy,3,Y
DEC2HEX,easy,3,Y
DEC2OCT,easy,3,Y
DECIMAL,easy,3,Y
DEGREES,easy,3,Y
DELTA,easy,3,Y
DETECTLANGUAGE,easy,4,N
DEVSQ,easy,4,Y
DGET,easy,4,Y
DISC,easy,4,N
DIVIDE,easy,4,N
DMAX,easy,4,Y
DMIN,easy,4,Y
DOLLAR,easy,4,N
DOLLARDE,easy,4,Y
DOLLARFR,easy,4,Y
DPRODUCT,easy,4,Y
DROP,easy,4,N
DSTDEV,easy,4,Y
DSTDEVP,easy,4,Y
DSUM,easy,4,Y
DURATION,easy,4,N
DVAR,easy,4,Y
DVARP,easy,4,Y
EDATE,easy,4,Y
EFFECT,easy,4,Y
ENCODEURL,easy,4,N
EOMONTH,easy,4,Y
EPOCHTODATE,easy,4,N
EQ,easy,4,N
ERF,easy,4,Y
ERF.PRECISE,easy,4,N
ERFC,easy,4,Y
ERFC.PRECISE,easy,4,N
ERROR.TYPE,easy,4,N
EUROCONVERT,easy,4,N
EVEN,easy,4,Y
EXACT,easy,4,Y
EXP,easy,4,Y
EXPAND,easy,4,N
EXPON.DIST,easy,4,N
F.DIST,easy,4,N
F.DIST.RT,easy,4,N
F.INV,easy,4,N
F.INV.RT,easy,4,N
F.TEST,easy,4,N
FACT,easy,5,Y
FACTDOUBLE,easy,5,Y
FALSE,easy,5,Y
FILTERXML,easy,5,N
FIND,easy,5,Y
FINDB,easy,5,N
FISHER,easy,5,Y
FISHERINV,easy,5,Y
FIXED,easy,5,N
FLATTEN,easy,5,N
FLOOR,easy,5,Y
FLOOR.MATH,easy,5,N
FLOOR.PRECISE,easy,5,N
FORECAST,easy,5,N
FORMULATEXT,easy,5,Y
FREQUENCY,easy,5,N
FTEST,easy,5,Y
FV,easy,5,Y
FVSCHEDULE,easy,5,N
GAMMA,easy,5,Y
GAMMA.DIST,easy,5,N
GAMMA.INV,easy,5,N
GAMMADIST,easy,5,Y
GAMMAINV,easy,5,Y
GAMMALN,easy,5,Y
GAMMALN.PRECISE,easy,5,N
GAUSS,easy,5,Y
GCD,easy,5,Y
GEOMEAN,easy,5,Y
GESTEP,easy,5,Y
GETPIVOTDATA,easy,5,N
GOOGLEFINANCE,easy,5,N
GOOGLETRANSLATE,easy,5,N
GROUPBY,easy,5,N
GROWTH,easy,5,N
GT,easy,5,N
GTE,easy,5,N
HARMEAN,easy,5,Y
HEX2BIN,easy,5,Y
HEX2DEC,easy,5,Y
HEX2OCT,easy,6,Y
HLOOKUP,easy,6,Y
HOUR,easy,6,Y
HSTACK,easy,6,N
HYPERLINK,easy,6,N
HYPGEOM.DIST,easy,6,N
HYPGEOMDIST,easy,6,Y
IF,easy,6,Y
IFERROR,easy,6,Y
IFNA,easy,6,Y
IFS,easy,6,Y
IMABS,easy,6,Y
IMAGE,easy,6,N
IMAGINARY,easy,6,Y
IMARGUMENT,easy,6,Y
IMCONJUGATE,easy,6,Y
IMCOS,easy,6,Y
IMCOSH,easy,6,Y
IMCOT,easy,6,Y
IMCOTH,easy,6,N
IMCSC,easy,6,Y
IMCSCH,easy,6,Y
IMDIV,easy,6,Y
IMEXP,easy,6,Y
IMLN,easy,6,Y
IMLOG,easy,6,N
IMLOG10,easy,6,Y
IMLOG2,easy,6,Y
IMPORTDATA,easy,6,N
IMPORTFEED,easy,6,N
IMPORTHTML,easy,6,N
IMPORTRANGE,easy,6,N
IMPORTXML,easy,6,N
IMPOWER,easy,6,Y
IMPRODUCT,easy,6,Y
IMREAL,easy,6,Y
IMSEC,easy,6,Y
IMSECH,easy,6,Y
IMSIN,easy,6,Y
IMSINH,easy,6,Y
IMSQRT,easy,7,Y
IMSUB,easy,7,Y
IMSUM,easy,7,Y
IMTAN,easy,7,Y
IMTANH,easy,7,N
INFO,easy,7,Y
INT,easy,7,Y
INTERCEPT,easy,7,Y
INTRATE,easy,7,N
IPMT,easy,7,Y
IRR,easy,7,Y
ISBETWEEN,easy,7,N
ISBLANK,easy,7,Y
ISDATE,easy,7,N
ISEMAIL,easy,7,N
ISERR,easy,7,Y
ISERROR,easy,7,Y
ISEVEN,easy,7,Y
ISFORMULA,easy,7,Y
ISLOGICAL,easy,7,Y
ISNA,easy,7,Y
ISNONTEXT,easy,7,Y
ISNUMBER,easy,7,Y
ISO.CEILING,easy,7,N
ISODD,easy,7,Y
ISOMITTED,easy,7,N
ISOWEEKNUM,easy,7,Y
ISPMT,easy,7,Y
ISREF,easy,7,Y
ISTEXT,easy,7,Y
ISURL,easy,7,N
JIS,easy,7,N
JOIN,easy,7,N
KURT,easy,7,Y
LARGE,easy,7,Y
LCM,easy,7,Y
LEFT,easy,7,Y
LEFTB,easy,7,N
LEN,easy,7,Y
LENB,easy,7,N
LINEST,easy,8,N
LN,easy,8,Y
LOG,easy,8,Y
LOG10,easy,8,Y
LOGEST,easy,8,N
LOGNORM.DIST,easy,8,N
LOGNORM.INV,easy,8,N
LOWER,easy,8,Y
LT,easy,8,N
LTE,easy,8,N
MAKEARRAY,easy,8,N
MAP,easy,8,N
MARGINOFERROR,easy,8,N
MAX,easy,8,Y
MAXA,easy,8,Y
MAXIFS,easy,8,Y
MDETERM,easy,8,N
MDURATION,easy,8,N
MEDIAN,easy,8,Y
MID,easy,8,Y
MIDB,easy,8,N
MIN,easy,8,Y
MINA,easy,8,Y
MINIFS,easy,8,Y
MINUS,easy,8,N
MINUTE,easy,8,Y
MINVERSE,easy,8,N
MIRR,easy,8,Y
MMULT,easy,8,N
MOD,easy,8,Y
MODE,easy,8,N
MODE.MULT,easy,8,N
MODE.SNGL,easy,8,N
MONTH,easy,8,Y
MROUND,easy,8,Y
MULTINOMIAL,easy,8,N
MULTIPLY,easy,8,N
MUNIT,easy,8,N
N,easy,8,Y
NA,easy,8,N
NE,easy,9,N
NEGBINOM.DIST,easy,9,N
NEGBINOMDIST,easy,9,Y
NOMINAL,easy,9,Y
NORM.DIST,easy,9,N
NORM.INV,easy,9,N
NORM.S.DIST,easy,9,N
NORM.S.INV,easy,9,N
NOT,easy,9,Y
NOW,easy,9,Y
NPER,easy,9,Y
NPV,easy,9,Y
NUMBERVALUE,easy,9,N
OCT2BIN,easy,9,Y
OCT2DEC,easy,9,Y
OCT2HEX,easy,9,Y
ODD,easy,9,Y
ODDFPRICE,easy,9,N
ODDFYIELD,easy,9,N
ODDLPRICE,easy,9,N
ODDLYIELD,easy,9,N
OR,easy,9,Y
PDURATION,easy,9,Y
PEARSON,easy,9,Y
PERCENTILE,easy,9,N
PERCENTILE.EXC,easy,9,N
PERCENTILE.INC,easy,9,N
PERCENTRANK,easy,9,N
PERCENTRANK.EXC,easy,9,N
PERCENTRANK.INC,easy,9,N
PERMUT,easy,9,N
PERMUTATIONA,easy,9,N
PHI,easy,9,Y
PHONETIC,easy,9,N
PI,easy,9,Y
PIVOTBY,easy,9,N
PMT,easy,9,Y
POISSON.DIST,easy,9,N
POW,easy,9,N
POWER,easy,9,Y
PPMT,easy,10,Y
PRICE,easy,10,N
PRICEDISC,easy,10,N
PRICEMAT,easy,10,N
PROB,easy,10,N
PRODUCT,easy,10,Y
PROPER,easy,10,N
PV,easy,10,Y
QUARTILE,easy,10,N
QUARTILE.EXC,easy,10,N
QUARTILE.INC,easy,10,N
QUOTIENT,easy,10,Y
RADIANS,easy,10,Y
RAND,easy,10,Y
RANDARRAY,easy,10,N
RANDBETWEEN,easy,10,Y
RANK,easy,10,N
RANK.AVG,easy,10,N
RANK.EQ,easy,10,N
RATE,easy,10,Y
RECEIVED,easy,10,N
REDUCE,easy,10,N
REGEXEXTRACT,easy,10,N
REGEXMATCH,easy,10,N
REGEXREPLACE,easy,10,N
REGISTER.ID,easy,10,N
REPLACE,easy,10,N
REPLACEB,easy,10,N
REPT,easy,10,Y
RIGHT,easy,10,Y
RIGHTB,easy,10,N
ROMAN,easy,10,Y
ROUND,easy,10,Y
ROUNDDOWN,easy,10,Y
ROUNDUP,easy,10,Y
ROW,easy,10,Y
ROWS,easy,10,Y
RRI,easy,10,Y
RSQ,easy,10,Y
RTD,easy,10,N
SCAN,easy,11,N
SEARCH,easy,11,Y
SEARCHB,easy,11,N
SEC,easy,11,Y
SECH,easy,11,Y
SECOND,easy,11,Y
SERIESSUM,easy,11,N
SHEET,easy,11,Y
SHEETS,easy,11,Y
SIGN,easy,11,Y
SIN,easy,11,Y
SINH,easy,11,Y
SKEW,easy,11,Y
SKEW.P,easy,11,N
SLN,easy,11,Y
SLOPE,easy,11,Y
SMALL,easy,11,Y
SORTN,easy,11,N
SPARKLINE,easy,11,N
SPLIT,easy,11,N
SQRT,easy,11,Y
SQRTPI,easy,11,Y
STANDARDIZE,easy,11,Y
STDEV.P,easy,11,N
STDEV.S,easy,11,N
STDEVA,easy,11,Y
STDEVPA,easy,11,Y
STEYX,easy,11,Y
STOCKHISTORY,easy,11,N
SUBSTITUTE,easy,11,Y
SUBTOTAL,easy,11,Y
SUM,easy,11,Y
SUMIF,easy,11,Y
SUMIFS,easy,11,Y
SUMPRODUCT,easy,11,N
SUMSQ,easy,11,Y
SUMX2MY2,easy,11,Y
SUMX2PY2,easy,11,Y
SUMXMY2,easy,11,Y
SWITCH,easy,11,Y
SYD,easy,12,Y
T,easy,12,Y
T.DIST,easy,12,N
T.DIST.2T,easy,12,N
T.DIST.RT,easy,12,N
T.INV,easy,12,N
T.INV.2T,easy,12,N
T.TEST,easy,12,N
TAKE,easy,12,N
TAN,easy,12,Y
TANH,easy,12,Y
TBILLEQ,easy,12,Y
TBILLPRICE,easy,12,Y
TBILLYIELD,easy,12,Y
TEXT,easy,12,Y
TEXTJOIN,easy,12,Y
TOCOL,easy,12,N
TODAY,easy,12,Y
TOROW,easy,12,N
TO_DATE,easy,12,N
TO_DOLLARS,easy,12,N
TO_PERCENT,easy,12,N
TO_PURE_NUMBER,easy,12,N
TO_TEXT,easy,12,N
TRANSPOSE,easy,12,N
TREND,easy,12,N
TRIM,easy,12,Y
TRIMMEAN,easy,12,N
TRIMRANGE,easy,12,N
TRUE,easy,12,Y
TRUNC,easy,12,Y
TTEST,easy,12,Y
TYPE,easy,12,Y
UMINUS,easy,12,N
UNARY_PERCENT,easy,12,N
UNICHAR,easy,12,N
UNICODE,easy,12,Y
UPLUS,easy,12,N
UPPER,easy,12,Y
VALUE,easy,12,Y
VALUETOTEXT,easy,13,Y
VAR.P,easy,13,N
VAR.S,easy,13,N
VARA,easy,13,Y
VARPA,easy,13,Y
VDB,easy,13,N
VLOOKUP,easy,13,Y
VSTACK,easy,13,N
WEBSERVICE,easy,13,N
WEEKDAY,easy,13,Y
WEEKNUM,easy,13,Y
WEIBULL.DIST,easy,13,N
WRAPCOLS,easy,13,N
WRAPROWS,easy,13,N
XIRR,easy,13,Y
XNPV,easy,13,Y
XOR,easy,13,Y
YEAR,easy,13,Y
YEARFRAC,easy,13,Y
YIELD,easy,13,N
YIELDDISC,easy,13,N
YIELDMAT,easy,13,N
Z.TEST,easy,13,N
DATE,medium,14,Y
DATEDIF,medium,14,Y
DATEVALUE,medium,14,Y
INDEX,medium,14,Y
INDIRECT,medium,14,Y
LOOKUP,medium,14,Y
MATCH,medium,14,Y
NETWORKDAYS,medium,14,Y
NETWORKDAYS.INTL,medium,14,N
OFFSET,medium,14,Y
TIME,medium,14,Y
TIMEVALUE,medium,14,Y
WORKDAY,medium,14,Y
WORKDAY.INTL,medium,14,N
BYCOL,hard,15,N
BYROW,hard,15,N
CHOOSECOLS,hard,15,N
CHOOSEROWS,hard,15,N
FILTER,hard,15,N
FORECAST.ETS,hard,15,N
FORECAST.ETS.CONFINT,hard,15,N
FORECAST.ETS.SEASONALITY,hard,15,N
FORECAST.ETS.STAT,hard,15,N
FORECAST.LINEAR,hard,15,N
LAMBDA,hard,15,N
LET,hard,15,N
QUERY,hard,15,N
SEQUENCE,hard,15,N
SORT,hard,15,N
SORTBY,hard,15,N
TEXTAFTER,hard,15,Y
TEXTBEFORE,hard,15,Y
TEXTSPLIT,hard,15,N
UNIQUE,hard,15,N
XLOOKUP,hard,15,Y
XMATCH,hard,15,N
